persona_id,temperatura_lead,prioridade_retencao_mock,objecao_esperada,segmentacao_psicologica_mock,evento_vida_prioritario_mock,next_best_action_mock,produto_ou_tema_prioritario,melhor_canal_prescritivo_mock,urgencia,motivo_nba,mensagem_consultiva_sugerida,guardrail
PRI-001,Quente,Alta,Quer confirmar regras antes de contratar,Sofisticado internacional,Abertura de empresa,Trabalhar retenção antes de oferta,Retenção/Relacionamento,WhatsApp oficial,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como sofisticado internacional, conectando Retenção/Relacionamento ao momento de vida: Abertura de empresa.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-002,Quente,Média,Prefere manter investimentos pulverizados,Investidor de impacto,Compra de imóvel planejada,Oferecer diagnóstico de proteção familiar,Seguro de vida,Gerente Principal,Alta,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como investidor de impacto, conectando Seguro de vida ao momento de vida: Compra de imóvel planejada.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-003,Quente,Média,Quer confirmar regras antes de contratar,Protetor familiar,Abertura de empresa,Agendar conversa de wealth planning,Wealth Planning,Videochamada,Alta,Evento patrimonial ou familiar indica oportunidade de planejamento sucessório e proteção.,"Abordar como protetor familiar, conectando Wealth Planning ao momento de vida: Abertura de empresa.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-004,Quente,Alta,Ainda não percebe valor no segmento Principal,Conservador de legado,Renovação de cartão premium,Trabalhar retenção antes de oferta,Retenção/Relacionamento,App Bradesco,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como conservador de legado, conectando Retenção/Relacionamento ao momento de vida: Renovação de cartão premium.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-005,Quente,Alta,Quer confirmar regras antes de contratar,Empreendedor oportunista,Compra de imóvel planejada,Trabalhar retenção antes de oferta,Retenção/Relacionamento,WhatsApp oficial,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como empreendedor oportunista, conectando Retenção/Relacionamento ao momento de vida: Compra de imóvel planejada.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-006,Quente,Baixa,Tem dúvida sobre custo-benefício da anuidade,Empreendedor oportunista,Revisão sucessória familiar,Agendar conversa de wealth planning,Wealth Planning,App Bradesco,Alta,Evento patrimonial ou familiar indica oportunidade de planejamento sucessório e proteção.,"Abordar como empreendedor oportunista, conectando Wealth Planning ao momento de vida: Revisão sucessória familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-007,Quente,Baixa,Quer confirmar regras antes de contratar,Gastador planejado,Renovação de cartão premium,Oferecer diagnóstico de proteção familiar,Seguro de vida,Videochamada,Alta,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como gastador planejado, conectando Seguro de vida ao momento de vida: Renovação de cartão premium.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-008,Nutrição,Baixa,Prefere manter investimentos pulverizados,Investidor de impacto,Liquidação de investimento relevante,Oferecer diagnóstico de proteção familiar,Seguro de vida,WhatsApp oficial,Baixa,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como investidor de impacto, conectando Seguro de vida ao momento de vida: Liquidação de investimento relevante.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-009,Morno,Baixa,Ainda não percebe valor no segmento Principal,Otimizador de benefícios,Herança em organização,Solicitar consentimento Open Finance de forma transparente,Open Finance,WhatsApp oficial,Média,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como otimizador de benefícios, conectando Open Finance ao momento de vida: Herança em organização.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-010,Quente,Baixa,Tem dúvida sobre custo-benefício da anuidade,Empreendedor oportunista,Compra de imóvel planejada,Solicitar consentimento Open Finance de forma transparente,Open Finance,App Bradesco,Alta,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como empreendedor oportunista, conectando Open Finance ao momento de vida: Compra de imóvel planejada.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-011,Quente,Baixa,Quer confirmar regras antes de contratar,Gastador planejado,Mudança de cidade,Solicitar consentimento Open Finance de forma transparente,Open Finance,Videochamada,Alta,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como gastador planejado, conectando Open Finance ao momento de vida: Mudança de cidade.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-012,Quente,Alta,Tem dúvida sobre custo-benefício da anuidade,Gastador planejado,Nascimento de filho,Trabalhar retenção antes de oferta,Retenção/Relacionamento,WhatsApp oficial,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como gastador planejado, conectando Retenção/Relacionamento ao momento de vida: Nascimento de filho.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-013,Quente,Alta,Prefere manter investimentos pulverizados,Empreendedor oportunista,Casamento ou união estável,Trabalhar retenção antes de oferta,Retenção/Relacionamento,App Bradesco,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como empreendedor oportunista, conectando Retenção/Relacionamento ao momento de vida: Casamento ou união estável.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-014,Quente,Alta,Já possui cartão premium em outro banco,Empreendedor oportunista,Abertura de empresa,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Gerente Principal,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como empreendedor oportunista, conectando Retenção/Relacionamento ao momento de vida: Abertura de empresa.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-015,Quente,Alta,Prefere manter investimentos pulverizados,Protetor familiar,Revisão sucessória familiar,Trabalhar retenção antes de oferta,Retenção/Relacionamento,E-mail corporativo validado,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como protetor familiar, conectando Retenção/Relacionamento ao momento de vida: Revisão sucessória familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-016,Quente,Alta,Não usa todos os benefícios atuais,Sofisticado internacional,Filho entrando na faculdade,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Videochamada,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como sofisticado internacional, conectando Retenção/Relacionamento ao momento de vida: Filho entrando na faculdade.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
