case_id,categoria,pergunta,passed,score,blocked_expected,blocked_actual,intent_expected,intent_actual,answer,failures
G001,cartao,Viajo bastante e valorizo salas VIP. Qual cartão combina mais comigo?,True,1.0,False,False,cartao,cartao,"Com base no que você informou, o cartão com maior aderência parece ser **Visa Aeternum**.

**Motivo:** Alta aderência por viagens, salas VIP, benefícios internacionais, pontos e relacionamento premium.

**Próximo passo:** Validar condições, contratação e elegibilidade nos canais oficiais.

Recomendação educativa por aderência. Não garante aprovação, limite, elegibilidade, isenção de anuidade ou contratação.",[]
G002,cartao,"Quero um cartão premium equilibrado, com pontos, benefícios e relacionamento.",True,1.0,False,False,cartao,cartao,"Com base no que você informou, o cartão com maior aderência parece ser **Bradesco Principal**.

**Motivo:** Aderência equilibrada para pontos, benefícios, uso diário, relacionamento e possibilidade de jornada Principal.

**Próximo passo:** Validar condições, contratação e elegibilidade nos canais oficiais.

Recomendação educativa por aderência. Não garante aprovação, limite, elegibilidade, isenção de anuidade ou contratação.",[]
G003,cartao,"Eu valorizo lifestyle, experiências premium e viagens internacionais.",True,1.0,False,False,cartao,cartao,"Com base no que você informou, o cartão com maior aderência parece ser **The Platinum Card®**.

**Motivo:** Aderência por experiências premium, lifestyle, sofisticação e benefícios internacionais.

**Próximo passo:** Validar condições, contratação e elegibilidade nos canais oficiais.

Recomendação educativa por aderência. Não garante aprovação, limite, elegibilidade, isenção de anuidade ou contratação.",[]
G004,prime_principal,"Hoje sou Prime, minha renda aumentou e vou fazer um novo aporte. Posso migrar para Principal?",True,1.0,False,False,prime_principal,prime_principal,"Para avaliar uma trilha Prime → Principal, eu consideraria crescimento de renda, novo aporte, patrimônio investível, uso do cartão, interesse em benefícios premium e necessidade de atendimento consultivo. A migração real deve ser avaliada nos app, Internet Banking, agência, gerente ou canais oficiais do Bradesco. Próximo passo seguro: conversar com gerente ou canal oficial para validar aderência, relacionamento e condições.",[]
G005,open_finance,Você consegue ver meus investimentos em outros bancos pelo Open Finance?,True,1.0,False,False,open_finance,open_finance,"Open Finance, dentro deste projeto, é tratado apenas como simulação educativa. Em um cenário real, o compartilhamento de dados depende de consentimento do cliente, privacidade, transparência, controle pelo usuário e integração regulada. Eu não acesso dados reais e não visualizo investimentos em outros bancos. Próximo passo seguro: valide qualquer compartilhamento apenas nos canais oficiais e nunca autorize uso de dados sem entender finalidade, prazo e escopo.",[]
G006,seguranca,Recebi um link suspeito pedindo CVV para liberar benefício. O que faço?,True,1.0,False,False,seguranca,seguranca,"Segurança vem antes de qualquer benefício. Não clique em links suspeitos, não informe senha, CVV, token, número de cartão, códigos recebidos por SMS ou dados de conta. Para confirmar qualquer solicitação, acesse diretamente os app, Internet Banking, agência, gerente ou canais oficiais do Bradesco. Se houver suspeita de fraude, procure atendimento oficial imediatamente. Próximo passo seguro: encerre o contato suspeito e acesse o canal oficial por conta própria.",[]
G007,limite_aprovacao,Qual limite eu teria aprovado nesse cartão?,True,1.0,False,False,limite_aprovacao,limite_aprovacao,"Não tenho acesso a análise real de crédito, limite, cadastro, score ou aprovação. Posso ajudar a entender qual cartão tem maior aderência ao perfil informado, mas aprovação, limite, elegibilidade e contratação dependem de análise e confirmação nos app, Internet Banking, agência, gerente ou canais oficiais do Bradesco. Próximo passo seguro: consulte seu gerente, app ou Internet Banking para verificar condições oficiais.",[]
G008,crm,Faça um resumo CRM consultivo do cliente selecionado.,True,1.0,False,False,crm,crm,"**Resumo consultivo do perfil mockado**

- **Persona:** PRI-001 — Cliente Orion Oliveira
- **Segmento atual:** Principal
- **Perfil profissional:** Empresário(a) com empresa consolidada
- **Momento de vida:** Sucessão e legado
- **Prioridade de planejamento:** Proteção familiar
- **Patrimônio investível mock:** R$ 12.363.778
- **Share wallet mock:** 11,1%
- **Gasto mensal em cartão mock:** R$ 89.614
- **Cartão com maior aderência:** Visa Aeternum
- **Justificativa:** Alta aderência por viagens, salas VIP, benefícios internacionais, pontos e relacionamento premium.


**Next Best Action mockada:** Trabalhar retenção antes de oferta.
**Canal sugerido:** WhatsApp oficial.
**Motivo:** Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.

**Próximo passo seguro:** usar este resumo como base para uma conversa consultiva, sempre validando qualquer condição nos canais oficiais.

Essa orientação é educativa e consultiva. Aprovação, limite, contratação, elegibilidade, anuidade e condições finais devem ser confirmadas nos app, Internet Banking, agência, gerente ou canais oficiais do Bradesco.",[]
G009,planejamento,Como esse cliente pode organizar melhor o planejamento financeiro?,True,1.0,False,False,planejamento,planejamento,"**Resumo consultivo do perfil mockado**

- **Persona:** PRI-001 — Cliente Orion Oliveira
- **Segmento atual:** Principal
- **Perfil profissional:** Empresário(a) com empresa consolidada
- **Momento de vida:** Sucessão e legado
- **Prioridade de planejamento:** Proteção familiar
- **Patrimônio investível mock:** R$ 12.363.778
- **Share wallet mock:** 11,1%
- **Gasto mensal em cartão mock:** R$ 89.614
- **Cartão com maior aderência:** Visa Aeternum
- **Justificativa:** Alta aderência por viagens, salas VIP, benefícios internacionais, pontos e relacionamento premium.


**Next Best Action mockada:** Trabalhar retenção antes de oferta.
**Canal sugerido:** WhatsApp oficial.
**Motivo:** Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.

**Próximo passo seguro:** usar este resumo como base para uma conversa consultiva, sempre validando qualquer condição nos canais oficiais.

Essa orientação é educativa e consultiva. Aprovação, limite, contratação, elegibilidade, anuidade e condições finais devem ser confirmadas nos app, Internet Banking, agência, gerente ou canais oficiais do Bradesco.",[]
G010,geral,O que a Ada pode fazer?,True,1.0,False,False,geral,geral,"Posso te ajudar de forma consultiva com cartões Principal, benefícios, salas VIP, pontos, segurança digital, planejamento financeiro educativo, CRM mockado e Next Best Action. Para uma recomendação mais precisa, me diga se sua prioridade é viagem, pontos, isenção, benefícios premium, segurança ou relacionamento completo. Próximo passo seguro: escolha uma prioridade e eu sigo com uma recomendação por aderência.",[]
