persona_id,data_base,nome_ficticio,tipo_registro,segmento_atual,segmento_alvo,status_oportunidade,estagio_funil_crm,temperatura_lead,score_potencial_principal_mock,probabilidade_migracao_12m_pct_mock,faixa_etaria,ciclo_vida,estado_civil_mock,dependentes_mock,cidade_uf,perfil_profissional,setor_atividade,porte_empresa_ou_carreira,fonte_renda_principal,estabilidade_renda,renda_mensal_estimada_mock,renda_familiar_mensal_mock,renda_variavel_anual_estimada_mock,despesas_mensais_estimadas_mock,capacidade_poupanca_mensal_mock,taxa_poupanca_pct_mock,reserva_emergencia_mock,meses_reserva_emergencia_mock,patrimonio_total_estimado_mock,patrimonio_investivel_estimado_mock,investimentos_bradesco_estimado_mock,concentracao_bradesco_pct_mock,aporte_previsto_12m_mock,principal_gatilho_oportunidade,perfil_investidor_mock,tolerancia_risco,horizonte_investimento,liquidez_necessaria,composicao_renda_fixa_pct,composicao_fundos_pct,composicao_renda_variavel_pct,composicao_previdencia_pct,composicao_exterior_pct,imoveis_estimado_mock,dividas_totais_estimadas_mock,parcelas_mensais_dividas_mock,comprometimento_renda_pct_mock,financiamento_imobiliario_interesse,credito_com_garantia_interesse,necessidade_capital_giro_pj,objetivo_curto_prazo,objetivo_medio_prazo,objetivo_longo_prazo,prioridade_planejamento,plano_90_dias,plano_12_meses,lacuna_planejamento,seguro_vida_status,seguro_residencial_status,seguro_auto_status,seguro_viagem_status,previdencia_privada_status,planejamento_sucessorio_status,gasto_mensal_cartao_estimado_mock,categoria_gasto_predominante,viagens_internacionais_ano_mock,interesse_sala_vip,interesse_pontos_milhas,interesse_isencao_anuidade,prioridade_cartao,cartao_atual_simulado,cartao_recomendado_ada,motivo_recomendacao_cartao,potencial_cartoes_adicionais,oportunidade_beneficios,cross_sell_prioritario_1,cross_sell_prioritario_2,cross_sell_prioritario_3,evento_proximo_contato,proximo_passo_sugerido,canal_preferido_mock,melhor_janela_contato,propensao_engajamento_digital,risco_churn_mock,objecao_esperada,argumento_consultivo,risco_privacidade,consentimento_marketing_mock,observacao_lgpd,observacao_crm,fonte_dado,segmentacao_psicologica_mock,estilo_decisao_mock,tendencia_renda_12m_pct_mock,tendencia_investimentos_12m_pct_mock,tendencia_gasto_cartao_12m_pct_mock,share_wallet_bradesco_mock,gap_open_finance_estimado_mock,open_finance_consentimento_mock,ativos_mapeados_open_finance_mock,prioridade_retencao_mock,propensao_credito_cartao_mock,elegibilidade_simulada_sem_decisao_credito,nps_mock,customer_effort_score_mock,historico_omnichannel_disponivel,data_ultima_interacao_mock,evento_vida_prioritario_mock,nba_status,observacao_modelagem
PRI-001,2026-06-18,Cliente Orion Oliveira,Cliente Principal mock,Principal,Principal,Carteira Principal,Revisão consultiva,Quente,100,,70+,Sucessão e legado,Solteiro(a),3,Porto Alegre/RS,Empresário(a) com empresa consolidada,Construção civil,Empresa consolidada,Aluguéis e dividendos,Variável com tendência positiva,183439,278368,2023748,138717,139651,0.5017,1203342,8.7,17019108,12363778,1366218,0.1105,2250400,renovação de benefícios,Arrojado,Baixa,Longo prazo,Média,31,18,29,21,15,5018774,3659824,40751,0.1464,Talvez em 12 meses,Avaliar para oportunidade patrimonial,Média,troca de veículo,planejar compra de imóvel,internacionalização de patrimônio,Proteção familiar,"Revisar concentração bancária, benefícios usados e potencial de relacionamento.",Consolidar planejamento financeiro familiar com revisão semestral.,Baixa diversificação internacional.,Revisar cobertura,Possui adequado,Não possui,Possui adequado,Revisar tributação e portabilidade,Não iniciado,89614,Despesas empresariais,10,Alta,Alta,Média,atendimento consultivo,The Platinum Card®,Visa Aeternum,"Aderência alta por viagens, salas VIP, benefícios internacionais, alto relacionamento e potencial patrimonial.",Família com potencial para adicionais,Concentrar gastos para pontos,Fundos premium,Previdência privada,Conta internacional,Vencimento de aplicação,Conduzir diagnóstico consultivo com roteiro Ada,Agência,Após 18h,Alta,Alto por relacionamento pulverizado,Quer confirmar regras antes de contratar,"Conectar cartão, investimentos e isenção potencial dentro da jornada consultiva.","Baixo: persona fictícia, sem CPF, conta, e-mail, telefone, cartão ou dado real",Simulado: opt-in,Dado sintético para projeto educacional. Não usar como cadastro real.,Perfil mock com foco em proteção familiar. Gatilho comercial: renovação de benefícios.,Base sintética criada para projeto educacional da Ada — Principal Advisor.,Sofisticado internacional,Sensível a custo-benefício,0.0505,0.1742,0.2277,0.1105,10997560,Simulado: consentimento pendente,0,Alta,96,Alta propensão simulada,2,5,Simulado: consolidado entre canais,2026-06-06,Abertura de empresa,Calculado em aba NBA_Motor,"Campos preditivos e prescritivos são simulados para projeto educacional. Não usar como modelo real sem governança, validação e autorização."
PRI-002,2026-06-18,Cliente Catarina Pereira,Cliente Principal mock,Principal,Principal,Carteira Principal,Expansão de relacionamento,Quente,100,,50-59,Consolidação patrimonial,Solteiro(a),0,Belo Horizonte/MG,Produtor(a) rural de grande porte,Energia,Executivo sênior,Bônus e remuneração variável,Alta,218774,221026,1936422,85358,135668,0.6138,216805,2.5,22828484,9454561,4535074,0.4797,1861666,organização familiar,Arrojado,Média,Longo prazo,Carteira separada por objetivos,64,10,12,12,22,14202725,945381,57069,0.2582,Sim,Sim,Média,concentrar gastos no cartão mais adequado,planejar compra de imóvel,sucessão patrimonial,Internacionalização,"Mapear gastos do cartão, categorias de consumo e aderência aos benefícios premium.","Concentrar relacionamento, cartões e investimentos para maximizar benefícios.",Cartão atual pouco aderente ao padrão de uso e viagens.,Revisar cobertura,Possui básico,Possui básico,Possui adequado,Possui previdência robusta,Estrutura básica,85338,Compras internacionais,1,Baixa,Alta,Média,sofisticação e lifestyle,Cartão múltiplo alta renda,Bradesco Principal,"Aderência equilibrada para pontos, serviços premium, benefícios de viagem e relacionamento Principal.",Alto,Avaliar isenção por relacionamento,Seguro viagem,Planejamento patrimonial,Investimentos,Bônus anual,Conduzir diagnóstico consultivo com roteiro Ada,Gerente Principal,Sábado pela manhã,Média,Baixo,Prefere manter investimentos pulverizados,"Trabalhar visão de relacionamento completo, não apenas produto isolado.","Baixo: persona fictícia, sem CPF, conta, e-mail, telefone, cartão ou dado real",Simulado: pendente,Dado sintético para projeto educacional. Não usar como cadastro real.,Perfil mock com foco em internacionalização. Gatilho comercial: organização familiar.,Base sintética criada para projeto educacional da Ada — Principal Advisor.,Investidor de impacto,Sensível a custo-benefício,0.1396,0.0602,-0.0459,0.4797,4919487,Simulado: consentimento ativo,2218085,Média,96,Alta propensão simulada,6,2,Simulado: consolidado entre canais,2026-05-07,Compra de imóvel planejada,Calculado em aba NBA_Motor,"Campos preditivos e prescritivos são simulados para projeto educacional. Não usar como modelo real sem governança, validação e autorização."
PRI-003,2026-06-18,Cliente Zoe Santos,Cliente Principal mock,Principal,Principal,Carteira Principal,Expansão de relacionamento,Quente,99.3,,30-39,Carreira em aceleração,Casado(a),4,Balneário Camboriú/SC,Empresário(a) com empresa consolidada,Energia,Profissional liberal,Renda de investimentos,Variável com tendência positiva,104210,181800,574971,103755,78045,0.4293,582163,5.6,28875282,24432119,10087082,0.4129,1717073,novo ciclo de investimentos,Arrojado,Média,Curto prazo,Média,45,20,21,16,9,4767475,2569370,25665,0.1412,Sim,Sim,Não aplicável,viagem internacional nos próximos 12 meses,planejar compra de imóvel,aposentadoria planejada,Concentração de relacionamento,"Realizar diagnóstico completo de carteira, cartão, proteção e objetivos.",Consolidar planejamento financeiro familiar com revisão semestral.,Cartão atual pouco aderente ao padrão de uso e viagens.,Não possui,Possui básico,Possui adequado,Não possui,Revisar tributação e portabilidade,Revisão recomendada,13994,Compras internacionais,8,Alta,Média,Alta,isenção de anuidade,Cartão múltiplo alta renda,Visa Aeternum,"Aderência alta por viagens, salas VIP, benefícios internacionais, alto relacionamento e potencial patrimonial.",Médio,Ativar benefícios digitais,Cartão adicional,Seguro residencial,Crédito com garantia,Renovação de cartão,Conduzir diagnóstico consultivo com roteiro Ada,Videochamada,Fim de tarde,Alta,Baixo,Quer confirmar regras antes de contratar,"Evidenciar economia de tempo, atendimento especializado e benefícios familiares.","Baixo: persona fictícia, sem CPF, conta, e-mail, telefone, cartão ou dado real",Simulado: opt-in,Dado sintético para projeto educacional. Não usar como cadastro real.,Perfil mock com foco em concentração de relacionamento. Gatilho comercial: novo ciclo de investimentos.,Base sintética criada para projeto educacional da Ada — Principal Advisor.,Protetor familiar,Precisa de prova social e comparação,0.0808,0.0994,0.0835,0.4129,14345037,Simulado: consentimento ativo,7877021,Média,96,Alta propensão simulada,5,5,Simulado: consolidado entre canais,2026-04-13,Abertura de empresa,Calculado em aba NBA_Motor,"Campos preditivos e prescritivos são simulados para projeto educacional. Não usar como modelo real sem governança, validação e autorização."
PRI-004,2026-06-18,Cliente Serena Santos,Cliente Principal mock,Principal,Principal,Carteira Principal,Oportunidade de cross-sell,Quente,93.3,,60-69,Sucessão e legado,União estável,3,Campinas/SP,Investidor(a) patrimonial,Setor público,Carreira pública premium,Receita empresarial,Sazonal com bom histórico,171471,254761,225080,135189,119572,0.4693,1764031,13.0,11294756,6924739,896416,0.1295,2490298,viagem internacional,Conservador,Média,Longo prazo,Média,29,9,30,4,14,5076018,2083007,22910,0.0899,Sim,Avaliar para oportunidade patrimonial,Não aplicável,troca de veículo,organizar despesas familiares,legado e organização patrimonial,Aumento de rentabilidade,"Mapear gastos do cartão, categorias de consumo e aderência aos benefícios premium.",Consolidar planejamento financeiro familiar com revisão semestral.,Baixa organização por objetivos financeiros.,Possui adequado,Não possui,Possui básico,Possui básico,Não possui,Em discussão,12931,Saúde e bem-estar,13,Alta,Média,Baixa,isenção de anuidade,Bradesco Principal,Visa Aeternum,"Aderência alta por viagens, salas VIP, benefícios internacionais, alto relacionamento e potencial patrimonial.",Baixo,Revisar seguros vinculados ao cartão,Soluções PJ,Câmbio,Previdência privada,Mudança de renda,Mapear investimentos e potencial de relacionamento,App Bradesco,Manhã,Baixa,Baixo,Ainda não percebe valor no segmento Principal,"Conectar cartão, investimentos e isenção potencial dentro da jornada consultiva.","Baixo: persona fictícia, sem CPF, conta, e-mail, telefone, cartão ou dado real",Simulado: não acionar campanhas,Dado sintético para projeto educacional. Não usar como cadastro real.,Perfil mock com foco em aumento de rentabilidade. Gatilho comercial: viagem internacional.,Base sintética criada para projeto educacional da Ada — Principal Advisor.,Conservador de legado,Precisa de prova social e comparação,0.0449,0.0938,0.2171,0.1295,6028323,Simulado: não consentiu,0,Alta,96,Alta propensão simulada,4,2,Simulado: consolidado entre canais,2026-05-09,Renovação de cartão premium,Calculado em aba NBA_Motor,"Campos preditivos e prescritivos são simulados para projeto educacional. Não usar como modelo real sem governança, validação e autorização."
PRI-005,2026-06-18,Cliente Rafael Junqueira,Cliente Principal mock,Principal,Principal,Carteira Principal,Expansão de relacionamento,Quente,89.7,,30-39,Família em expansão,Viúvo(a),4,Salvador/BA,Consultor(a) estratégico(a),Consultoria,Empresa consolidada,Aluguéis e dividendos,Sazonal com bom histórico,67113,110494,788152,80069,30425,0.2754,963422,12.0,13891934,6959149,3663033,0.5264,2402262,revisão patrimonial,Moderado,Baixa,Médio prazo,Baixa,58,7,22,25,25,7170125,1475157,8979,0.0813,Não,Avaliar para oportunidade patrimonial,Média,reduzir custo financeiro,diversificar investimentos,sucessão patrimonial,Proteção familiar,"Organizar prioridades: liquidez, investimentos, cartão, seguros e sucessão.","Concentrar relacionamento, cartões e investimentos para maximizar benefícios.",Cartão atual pouco aderente ao padrão de uso e viagens.,Possui básico,Possui adequado,Possui adequado,Não possui,Não possui,Estrutura básica,21067,Viagens e turismo,2,Média,Alta,Média,benefícios internacionais,Visa Infinite,Bradesco Principal,"Aderência equilibrada para pontos, serviços premium, benefícios de viagem e relacionamento Principal.",Baixo,Explorar salas VIP e viagens,Seguro de vida,Consórcio,Conta internacional,Vencimento de aplicação,Agendar conversa com especialista/gerente,Gerente Principal,Sábado pela manhã,Alta,Alto por relacionamento pulverizado,Quer confirmar regras antes de contratar,"Trabalhar visão de relacionamento completo, não apenas produto isolado.","Baixo: persona fictícia, sem CPF, conta, e-mail, telefone, cartão ou dado real",Simulado: não acionar campanhas,Dado sintético para projeto educacional. Não usar como cadastro real.,Perfil mock com foco em proteção familiar. Gatilho comercial: revisão patrimonial.,Base sintética criada para projeto educacional da Ada — Principal Advisor.,Empreendedor oportunista,Valoriza status e experiência,0.0303,-0.0193,0.0383,0.5264,3296116,Simulado: consentimento ativo,2066041,Alta,80,Média propensão simulada,3,2,Simulado: consolidado entre canais,2026-04-30,Compra de imóvel planejada,Calculado em aba NBA_Motor,"Campos preditivos e prescritivos são simulados para projeto educacional. Não usar como modelo real sem governança, validação e autorização."
PRI-006,2026-06-18,Cliente Yasmin Esteves,Cliente Principal mock,Principal,Principal,Carteira Principal,Expansão de relacionamento,Quente,100,,50-59,Consolidação patrimonial,Viúvo(a),4,Barueri/SP,Médico(a) especialista,Indústria,Executivo sênior,Pró-labore e dividendos,Média,168402,191276,503508,110443,80833,0.4226,998545,9.0,12006209,4556464,2616710,0.5743,2343987,organização familiar,Conservador,Baixa,Médio prazo,Carteira separada por objetivos,56,12,24,20,21,7611885,2531527,19750,0.1033,Talvez em 12 meses,Sim,Baixa,reforma residencial,estruturar previdência privada,aposentadoria planejada,Sucessão patrimonial,"Mapear gastos do cartão, categorias de consumo e aderência aos benefícios premium.",Consolidar planejamento financeiro familiar com revisão semestral.,Reserva de emergência insuficiente para o padrão de renda.,Possui básico,Possui básico,Revisar cobertura,Não possui,Possui previdência robusta,Revisão recomendada,28209,Saúde e bem-estar,11,Alta,Alta,Baixa,sofisticação e lifestyle,Prime Visa Infinite,Visa Aeternum,"Aderência alta por viagens, salas VIP, benefícios internacionais, alto relacionamento e potencial patrimonial.",Família com potencial para adicionais,Revisar seguros vinculados ao cartão,Fundos premium,Soluções PJ,Seguro viagem,Vencimento de aplicação,"Apresentar benefícios de salas VIP, pontos e segurança",App Bradesco,Sábado pela manhã,Baixa,Baixo,Tem dúvida sobre custo-benefício da anuidade,"Evidenciar economia de tempo, atendimento especializado e benefícios familiares.","Baixo: persona fictícia, sem CPF, conta, e-mail, telefone, cartão ou dado real",Simulado: não acionar campanhas,Dado sintético para projeto educacional. Não usar como cadastro real.,Perfil mock com foco em sucessão patrimonial. Gatilho comercial: organização familiar.,Base sintética criada para projeto educacional da Ada — Principal Advisor.,Empreendedor oportunista,Precisa de prova social e comparação,0.143,0.1396,0.0268,0.5743,1939754,Simulado: consentimento ativo,1456816,Baixa,96,Alta propensão simulada,9,4,Simulado: consolidado entre canais,2026-05-31,Revisão sucessória familiar,Calculado em aba NBA_Motor,"Campos preditivos e prescritivos são simulados para projeto educacional. Não usar como modelo real sem governança, validação e autorização."
PRI-007,2026-06-18,Cliente Atlas Esteves,Cliente Principal mock,Principal,Principal,Carteira Principal,Relacionamento ativo,Quente,100,,30-39,Carreira em aceleração,Viúvo(a),4,São Paulo/SP,Empreendedor(a) de tecnologia,Varejo,Grupo familiar,Renda rural,Variável com tendência positiva,218934,334155,862420,172772,161383,0.483,1594836,9.2,27191872,10234204,6286714,0.6143,1794587,viagem internacional,Arrojado,Média,Médio prazo,Baixa,42,22,14,13,11,16878095,790227,40404,0.1209,Sim,Não,Alta,reforma residencial,organizar despesas familiares,independência financeira,Internacionalização,"Realizar diagnóstico completo de carteira, cartão, proteção e objetivos.","Concentrar relacionamento, cartões e investimentos para maximizar benefícios.",Reserva de emergência insuficiente para o padrão de renda.,Possui básico,Possui básico,Não possui,Possui adequado,Não possui,Estrutura básica,57852,Moradia e utilidades,1,Baixa,Alta,Baixa,sofisticação e lifestyle,Elo Nanquim,Bradesco Principal,"Aderência equilibrada para pontos, serviços premium, benefícios de viagem e relacionamento Principal.",Família com potencial para adicionais,Concentrar gastos para pontos,Seguro viagem,Seguro auto,Seguro de vida,Campanha de benefícios,Orientar canais oficiais para contratação,Videochamada,Manhã,Média,Baixo,Quer confirmar regras antes de contratar,"Apresentar salas VIP, pontos, segurança e conveniência como proposta integrada.","Baixo: persona fictícia, sem CPF, conta, e-mail, telefone, cartão ou dado real",Simulado: pendente,Dado sintético para projeto educacional. Não usar como cadastro real.,Perfil mock com foco em internacionalização. Gatilho comercial: viagem internacional.,Base sintética criada para projeto educacional da Ada — Principal Advisor.,Gastador planejado,Analítico e detalhista,0.1346,0.131,0.0306,0.6143,3947490,Simulado: consentimento ativo,3343012,Baixa,96,Alta propensão simulada,5,2,Simulado: consolidado entre canais,2026-05-06,Renovação de cartão premium,Calculado em aba NBA_Motor,"Campos preditivos e prescritivos são simulados para projeto educacional. Não usar como modelo real sem governança, validação e autorização."
PRI-008,2026-06-18,Cliente Dante Vasconcelos,Cliente Principal mock,Principal,Principal,Carteira Principal,Relacionamento ativo,Nutrição,64.4,,50-59,Consolidação patrimonial,Divorciado(a),2,Porto Alegre/RS,Sócio(a) de indústria,Consultoria,Executivo sênior,Renda rural,Variável com tendência positiva,86836,136244,753037,78484,57760,0.4239,823762,10.5,4189666,1879859,1764575,0.9387,58524,revisão patrimonial,Arrojado,Baixa,Longo prazo,Alta,40,15,15,11,19,3103365,359294,17756,0.1303,Sim,Avaliar para oportunidade patrimonial,Alta,viagem internacional nos próximos 12 meses,diversificar investimentos,proteção familiar,Aumento de rentabilidade,"Revisar concentração bancária, benefícios usados e potencial de relacionamento.","Concentrar relacionamento, cartões e investimentos para maximizar benefícios.",Alto potencial de investimentos fora do relacionamento atual.,Não possui,Não possui,Não possui,Revisar cobertura,Possui previdência básica,Estrutura básica,16874,Restaurantes e experiências,7,Alta,Média,Baixa,benefícios internacionais,Cartão múltiplo alta renda,The Platinum Card®,"Aderência por sofisticação, experiências premium, lifestyle e benefícios internacionais.",Baixo,Ativar benefícios digitais,Seguro residencial,Previdência privada,Soluções PJ,Bônus anual,Simular aderência entre cartões Principal,E-mail corporativo validado,Fim de tarde,Alta,Baixo,Prefere manter investimentos pulverizados,"Trabalhar visão de relacionamento completo, não apenas produto isolado.","Baixo: persona fictícia, sem CPF, conta, e-mail, telefone, cartão ou dado real",Simulado: opt-in,Dado sintético para projeto educacional. Não usar como cadastro real.,Perfil mock com foco em aumento de rentabilidade. Gatilho comercial: revisão patrimonial.,Base sintética criada para projeto educacional da Ada — Principal Advisor.,Investidor de impacto,Objetivo e orientado a conveniência,0.1012,0.131,0.1377,0.9387,115284,Simulado: consentimento ativo,52306,Baixa,63,Baixa propensão simulada,8,2,Simulado: consolidado entre canais,2026-04-05,Liquidação de investimento relevante,Calculado em aba NBA_Motor,"Campos preditivos e prescritivos são simulados para projeto educacional. Não usar como modelo real sem governança, validação e autorização."
PRI-009,2026-06-18,Cliente Gustavo Oliveira,Cliente Principal mock,Principal,Principal,Carteira Principal,Oportunidade de cross-sell,Morno,76.4,,40-49,Carreira em aceleração,Casado(a),0,Uberlândia/MG,Herdeiro(a) em organização patrimonial,Varejo,Empresa consolidada,Aluguéis e dividendos,Média,214118,396074,673761,186249,209825,0.5298,1717869,9.2,2393055,1235630,724314,0.5862,1455553,organização familiar,Arrojado,Média,Longo prazo,Baixa,54,25,15,16,6,1421836,515580,95257,0.2405,Não,Avaliar para oportunidade patrimonial,Média,troca de veículo,planejar educação dos filhos,renda passiva recorrente,Internacionalização,"Mapear gastos do cartão, categorias de consumo e aderência aos benefícios premium.","Concentrar relacionamento, cartões e investimentos para maximizar benefícios.",Uso de benefícios premium abaixo do potencial.,Revisar cobertura,Possui adequado,Não possui,Possui básico,Possui previdência robusta,Em discussão,60847,Despesas empresariais,4,Média,Alta,Alta,segurança digital,Outro cartão premium,Bradesco Principal,"Aderência equilibrada para pontos, serviços premium, benefícios de viagem e relacionamento Principal.",Baixo,Revisar seguros vinculados ao cartão,Investimentos,Cartão adicional,Seguro residencial,Mudança de renda,Orientar canais oficiais para contratação,E-mail corporativo validado,Horário comercial,Alta,Baixo,Ainda não percebe valor no segmento Principal,Mostrar comparação entre benefícios usados e benefícios disponíveis.,"Baixo: persona fictícia, sem CPF, conta, e-mail, telefone, cartão ou dado real",Simulado: não acionar campanhas,Dado sintético para projeto educacional. Não usar como cadastro real.,Perfil mock com foco em internacionalização. Gatilho comercial: organização familiar.,Base sintética criada para projeto educacional da Ada — Principal Advisor.,Otimizador de benefícios,Analítico e detalhista,0.0744,0.1163,-0.0236,0.5862,511316,Simulado: consentimento pendente,0,Baixa,80,Média propensão simulada,5,5,Simulado: consolidado entre canais,2026-03-20,Herança em organização,Calculado em aba NBA_Motor,"Campos preditivos e prescritivos são simulados para projeto educacional. Não usar como modelo real sem governança, validação e autorização."
PRI-010,2026-06-18,Cliente Úrsula Vasconcelos,Cliente Principal mock,Principal,Principal,Carteira Principal,Oportunidade de cross-sell,Quente,100,,30-39,Acumulação patrimonial,Casado(a),0,Rio de Janeiro/RJ,Empreendedor(a) de tecnologia,Energia,Empresa em crescimento,Honorários profissionais,Sazonal com bom histórico,110268,135379,950413,102043,33336,0.2462,1056196,10.4,34358919,13238554,7737395,0.5845,2757711,organização familiar,Arrojado,Alta,Longo prazo,Carteira separada por objetivos,39,31,21,2,3,21764090,6490513,20084,0.1484,Talvez em 12 meses,Avaliar para oportunidade patrimonial,Média,contratar proteção patrimonial básica,organizar despesas familiares,internacionalização de patrimônio,Sucessão patrimonial,Conduzir conversa consultiva para enquadramento Principal e proposta de valor.,Consolidar planejamento financeiro familiar com revisão semestral.,Uso de benefícios premium abaixo do potencial.,Possui básico,Revisar cobertura,Possui adequado,Revisar cobertura,Possui previdência robusta,Em discussão,38602,Despesas empresariais,3,Média,Alta,Baixa,atendimento consultivo,Sem concentração no cartão principal,Bradesco Principal,"Aderência equilibrada para pontos, serviços premium, benefícios de viagem e relacionamento Principal.",Médio,Avaliar isenção por relacionamento,Soluções PJ,Seguro de vida,Investimentos,Campanha de benefícios,Conduzir diagnóstico consultivo com roteiro Ada,Videochamada,Sábado pela manhã,Alta,Baixo,Tem dúvida sobre custo-benefício da anuidade,"Apresentar salas VIP, pontos, segurança e conveniência como proposta integrada.","Baixo: persona fictícia, sem CPF, conta, e-mail, telefone, cartão ou dado real",Simulado: não acionar campanhas,Dado sintético para projeto educacional. Não usar como cadastro real.,Perfil mock com foco em sucessão patrimonial. Gatilho comercial: organização familiar.,Base sintética criada para projeto educacional da Ada — Principal Advisor.,Empreendedor oportunista,Orientado a relacionamento humano,-0.0021,0.0533,0.2001,0.5845,5501159,Simulado: não consentiu,0,Baixa,94,Alta propensão simulada,5,2,Simulado: consolidado entre canais,2026-05-23,Compra de imóvel planejada,Calculado em aba NBA_Motor,"Campos preditivos e prescritivos são simulados para projeto educacional. Não usar como modelo real sem governança, validação e autorização."
