data,persona_id,canal,tema,resumo,sentimento,prioridade,resolvido,lacuna_detectada,objecao_cliente,proxima_acao,handoff_gerente,observacao_lgpd
2026-02-02,PRM-001,Internet Banking,Cartão Principal,Cliente pediu comparação entre cartões Principal.,Dúvida,Médio,nao,Cartão pouco aderente,Dúvida sobre custo-benefício da anuidade,Agendar conversa consultiva,sim,Registro fictício. Não contém dado real.
2026-02-08,PRM-001,Internet Banking,Salas VIP,Cliente demonstrou interesse em benefícios para viagem internacional.,Atrito,Alto,nao,Proteção familiar incompleta,Quer entender quantidade de acessos,Enviar comparativo de benefícios,nao,Registro fictício. Não contém dado real.
2026-02-15,PRM-001,Internet Banking,Investimentos,Cliente informou potencial de novo aporte nos próximos meses.,Positivo,Alto,sim,Cartão pouco aderente,Deseja comparar relacionamento atual,Acionar gerente,nao,Registro fictício. Não contém dado real.
2026-02-17,PRM-001,WhatsApp oficial,Segurança Digital,Cliente perguntou sobre golpes envolvendo cartão e links falsos.,Positivo,Médio,sim,Cartão pouco aderente,Preocupação com fraude,Acionar gerente,sim,Registro fictício. Não contém dado real.
2026-02-19,PRI-001,Videochamada,Salas VIP,Cliente demonstrou interesse em benefícios para viagem internacional.,Atrito,Alto,sim,Dúvida sobre anuidade,Quer entender quantidade de acessos,Agendar conversa consultiva,sim,Registro fictício. Não contém dado real.
2026-02-25,PRI-001,WhatsApp oficial,Investimentos,Cliente informou potencial de novo aporte nos próximos meses.,Positivo,Alto,sim,Investimentos fora do relacionamento,Deseja comparar relacionamento atual,Agendar conversa consultiva,nao,Registro fictício. Não contém dado real.
2026-03-09,PRI-001,Videochamada,Cartão Principal,Cliente pediu comparação entre cartões Principal.,Positivo,Médio,sim,Cartão pouco aderente,Dúvida sobre custo-benefício da anuidade,Revisar carteira,nao,Registro fictício. Não contém dado real.
2026-03-11,PRI-001,Videochamada,Segurança Digital,Cliente perguntou sobre golpes envolvendo cartão e links falsos.,Oportunidade,Médio,nao,Proteção familiar incompleta,Preocupação com fraude,Enviar comparativo de benefícios,nao,Registro fictício. Não contém dado real.
2026-03-11,PRM-001,Videochamada,Open Finance,Cliente aceitou entender proposta de compartilhamento consentido.,Neutro,Médio,parcial,Oportunidade de migração Prime para Principal,Quer transparência sobre uso dos dados,Agendar conversa consultiva,sim,Registro fictício. Não contém dado real.
2026-03-14,PRM-001,Gerente Principal,Wealth Planning,Cliente mencionou planejamento sucessório e proteção familiar.,Neutro,Alto,sim,Cartão pouco aderente,Precisa de atendimento especializado,Orientar canais oficiais,sim,Registro fictício. Não contém dado real.
2026-03-16,PRI-001,WhatsApp oficial,Wealth Planning,Cliente mencionou planejamento sucessório e proteção familiar.,Positivo,Alto,sim,Dúvida sobre anuidade,Precisa de atendimento especializado,Explicar segurança digital,nao,Registro fictício. Não contém dado real.
2026-03-29,PRM-001,Gerente Principal,Cartão Principal,Cliente pediu comparação entre cartões Principal.,Dúvida,Médio,sim,Dúvida sobre anuidade,Dúvida sobre custo-benefício da anuidade,Agendar conversa consultiva,sim,Registro fictício. Não contém dado real.
2026-04-01,PRM-001,Internet Banking,Cartão Principal,Cliente pediu comparação entre cartões Principal.,Oportunidade,Médio,sim,Proteção familiar incompleta,Dúvida sobre custo-benefício da anuidade,Explicar segurança digital,nao,Registro fictício. Não contém dado real.
2026-04-03,PRI-001,Videochamada,Investimentos,Cliente informou potencial de novo aporte nos próximos meses.,Oportunidade,Alto,sim,Proteção familiar incompleta,Deseja comparar relacionamento atual,Acionar gerente,sim,Registro fictício. Não contém dado real.
2026-04-07,PRI-001,Internet Banking,Open Finance,Cliente aceitou entender proposta de compartilhamento consentido.,Dúvida,Médio,sim,Dúvida sobre anuidade,Quer transparência sobre uso dos dados,Enviar comparativo de benefícios,nao,Registro fictício. Não contém dado real.
2026-04-07,PRM-001,Videochamada,Open Finance,Cliente aceitou entender proposta de compartilhamento consentido.,Oportunidade,Médio,sim,Dúvida sobre anuidade,Quer transparência sobre uso dos dados,Agendar conversa consultiva,nao,Registro fictício. Não contém dado real.
2026-04-17,PRM-001,Internet Banking,Salas VIP,Cliente demonstrou interesse em benefícios para viagem internacional.,Positivo,Alto,nao,Investimentos fora do relacionamento,Quer entender quantidade de acessos,Revisar carteira,sim,Registro fictício. Não contém dado real.
2026-04-19,PRI-001,Videochamada,Cartão Principal,Cliente pediu comparação entre cartões Principal.,Neutro,Médio,sim,Cartão pouco aderente,Dúvida sobre custo-benefício da anuidade,Acionar gerente,sim,Registro fictício. Não contém dado real.
2026-04-20,PRM-001,WhatsApp oficial,Isenção de Anuidade,Cliente pediu explicação sobre possibilidade de isenção.,Oportunidade,Alto,sim,Dúvida sobre anuidade,Quer saber se gastos/investimentos ajudam,Revisar carteira,nao,Registro fictício. Não contém dado real.
2026-04-30,PRI-001,Gerente Principal,Open Finance,Cliente aceitou entender proposta de compartilhamento consentido.,Dúvida,Médio,sim,Dúvida sobre anuidade,Quer transparência sobre uso dos dados,Acionar gerente,nao,Registro fictício. Não contém dado real.
2026-05-01,PRM-001,WhatsApp oficial,Segurança Digital,Cliente perguntou sobre golpes envolvendo cartão e links falsos.,Dúvida,Médio,sim,Proteção familiar incompleta,Preocupação com fraude,Explicar segurança digital,nao,Registro fictício. Não contém dado real.
2026-05-16,PRI-001,WhatsApp oficial,Open Finance,Cliente aceitou entender proposta de compartilhamento consentido.,Atrito,Médio,parcial,Investimentos fora do relacionamento,Quer transparência sobre uso dos dados,Agendar conversa consultiva,sim,Registro fictício. Não contém dado real.
2026-05-19,PRM-001,Agência,Wealth Planning,Cliente mencionou planejamento sucessório e proteção familiar.,Oportunidade,Alto,parcial,Investimentos fora do relacionamento,Precisa de atendimento especializado,Explicar segurança digital,nao,Registro fictício. Não contém dado real.
2026-05-30,PRI-001,Gerente Principal,Salas VIP,Cliente demonstrou interesse em benefícios para viagem internacional.,Neutro,Alto,sim,Oportunidade de migração Prime para Principal,Quer entender quantidade de acessos,Agendar conversa consultiva,nao,Registro fictício. Não contém dado real.
